carname,description
Mitsubishi L200,"The Mitsubishi L200 is a durable and capable pickup truck designed for both work and leisure. It features a robust engine, delivering 178 horsepower with a fuel efficiency of 8.5 liters per 100 kilometers. The L200 has both automatic and manual transmission options, four doors, and runs on diesel. It boasts a top speed of 175 km/h."
Mitsubishi Attrage,"The Mitsubishi Attrage is a compact sedan known for its fuel efficiency and practicality. It features an economical engine, delivering 76 horsepower with a fuel efficiency of 4.5 liters per 100 kilometers. The Attrage has both automatic and manual transmission options, four doors, and runs on gasoline. It boasts a top speed of 170 km/h."
Mitsubishi Raider,"The Mitsubishi Raider is a rugged and powerful pickup truck designed for tough tasks. It features a strong engine, delivering 210 horsepower with a fuel efficiency of 10 liters per 100 kilometers. The Raider has an automatic transmission, four doors, and runs on gasoline. It boasts a top speed of 185 km/h."
Mitsubishi Montero Sport,"The Mitsubishi Montero Sport is a sporty and dynamic SUV designed for both on-road and off-road adventures. It features a potent engine, delivering 181 horsepower with a fuel efficiency of 9.5 liters per 100 kilometers. The Montero Sport has an automatic transmission, five doors, and runs on diesel. It boasts a top speed of 190 km/h."
Mitsubishi Outlander Sport,"The Mitsubishi Outlander Sport is a compact and agile SUV with a focus on urban driving. It features a fuel-efficient engine, delivering 148 horsepower with a fuel efficiency of 7 liters per 100 kilometers. The Outlander Sport has both automatic and manual transmission options, five doors, and runs on gasoline. It boasts a top speed of 190 km/h."
Mitsubishi Delica,"The Mitsubishi Delica is a versatile and spacious MPV designed for comfortable transportation. It features a reliable engine, delivering 170 horsepower with a fuel efficiency of 9.2 liters per 100 kilometers. The Delica has an automatic transmission, five doors, and runs on diesel. It boasts a top speed of 160 km/h."
Mitsubishi Space Wagon,"The Mitsubishi Space Wagon is a practical and family-friendly MPV with ample space. It features a reliable engine, delivering 150 horsepower with a fuel efficiency of 8.5 liters per 100 kilometers. The Space Wagon has both automatic and manual transmission options, five doors, and runs on gasoline. It boasts a top speed of 180 km/h."
Mitsubishi 3000GT,"The Mitsubishi 3000GT is a classic and high-performance sports car known for its sleek design. It features a powerful engine, delivering 320 horsepower with a fuel efficiency of 11.5 liters per 100 kilometers. The 3000GT has an automatic transmission, two doors, and runs on gasoline. It boasts a top speed of 250 km/h."
Mitsubishi Sigma,"The Mitsubishi Sigma is a stylish and elegant sedan with a focus on comfort and sophistication. It features a reliable engine, delivering 150 horsepower with a fuel efficiency of 9 liters per 100 kilometers. The Sigma has both automatic and manual transmission options, four doors, and runs on gasoline. It boasts a top speed of 190 km/h."
Mitsubishi Mighty Max,"The Mitsubishi Mighty Max is a compact and practical pickup truck designed for daily tasks. It features an economical engine, delivering 116 horsepower with a fuel efficiency of 9.8 liters per 100 kilometers. The Mighty Max has both automatic and manual transmission options, two doors, and runs on gasoline. It boasts a top speed of 170 km/h."
Mitsubishi Precis,"The Mitsubishi Precis is a compact and efficient hatchback designed for urban commuting. It features an economical engine, delivering 70 horsepower with a fuel efficiency of 6 liters per 100 kilometers. The Precis has both automatic and manual transmission options, three doors, and runs on gasoline. It boasts a top speed of 155 km/h."
Mitsubishi Diamante,"The Mitsubishi Diamante is a luxurious and comfortable sedan with a focus on refined driving. It features a powerful engine, delivering 205 horsepower with a fuel efficiency of 10 liters per 100 kilometers. The Diamante has an automatic transmission, four doors, and runs on gasoline. It boasts a top speed of 215 km/h."
Mitsubishi Charisma,"The Mitsubishi Charisma is a compact and reliable sedan designed for everyday use. It features an efficient engine, delivering 90 horsepower with a fuel efficiency of 7 liters per 100 kilometers. The Charisma has both automatic and manual transmission options, four doors, and runs on gasoline. It boasts a top speed of 180 km/h."
Opel Corsa,"The Opel Corsa is a compact and efficient hatchback designed for urban driving. It features a fuel-efficient engine, delivering 90 horsepower with a fuel efficiency of 5 liters per 100 kilometers. The Corsa has both automatic and manual transmission options, five doors, and runs on gasoline. It boasts a top speed of 180 km/h."
Opel Astra,"The Opel Astra is a versatile and dynamic compact car known for its balanced performance. It features a powerful engine, delivering 150 horsepower with a fuel efficiency of 6.5 liters per 100 kilometers. The Astra has both automatic and manual transmission options, five doors, and runs on gasoline. It boasts a top speed of 220 km/h."
Opel Insignia,"The Opel Insignia is a sophisticated and spacious sedan with a focus on comfort and style. It features a potent engine, delivering 200 horsepower with a fuel efficiency of 8 liters per 100 kilometers. The Insignia has both automatic and manual transmission options, four doors, and runs on diesel. It boasts a top speed of 230 km/h."
Opel Mokka,"The Opel Mokka is a compact and stylish SUV designed for urban adventures. It features a turbocharged engine, delivering 140 horsepower with a fuel efficiency of 7 liters per 100 kilometers. The Mokka has both automatic and manual transmission options, five doors, and runs on gasoline. It boasts a top speed of 205 km/h."
Opel Crossland X,"The Opel Crossland X is a practical and versatile SUV suitable for everyday use. It features a fuel-efficient engine, delivering 110 horsepower with a fuel efficiency of 5.5 liters per 100 kilometers. The Crossland X has both automatic and manual transmission options, five doors, and runs on gasoline. It boasts a top speed of 190 km/h."
Opel Grandland X,"The Opel Grandland X is a spacious and family-friendly SUV with a modern design. It features a powerful engine, delivering 180 horsepower with a fuel efficiency of 7.5 liters per 100 kilometers. The Grandland X has an automatic transmission, five doors, and runs on diesel. It boasts a top speed of 210 km/h."
Opel Adam,"The Opel Adam is a stylish and compact city car designed for individual expression. It features a peppy engine, delivering 100 horsepower with a fuel efficiency of 5.8 liters per 100 kilometers. The Adam has both automatic and manual transmission options, three doors, and runs on gasoline. It boasts a top speed of 185 km/h."
Opel Karl,"The Opel Karl is a compact and economical city car perfect for daily commuting. It features an efficient engine, delivering 75 horsepower with a fuel efficiency of 4.5 liters per 100 kilometers. The Karl has both automatic and manual transmission options, five doors, and runs on gasoline. It boasts a top speed of 170 km/h."
Opel Vivaro,"The Opel Vivaro is a versatile and practical van designed for transporting goods and passengers. It features a reliable engine, delivering 120 horsepower with a fuel efficiency of 7.5 liters per 100 kilometers. The Vivaro has both automatic and manual transmission options, five doors, and runs on diesel. It boasts a top speed of 160 km/h."
Opel Zafira Life,"The Opel Zafira Life is a spacious and comfortable MPV designed for family travel. It features a powerful engine, delivering 150 horsepower with a fuel efficiency of 8 liters per 100 kilometers. The Zafira Life has both automatic and manual transmission options, five doors, and runs on diesel. It boasts a top speed of 180 km/h."
Opel Cascada,"The Opel Cascada is an elegant and convertible coupe designed for open-air driving. It features a potent engine, delivering 170 horsepower with a fuel efficiency of 9 liters per 100 kilometers. The Cascada has an automatic transmission, two doors, and runs on gasoline. It boasts a top speed of 220 km/h."
Opel Karl Rocks,"The Opel Karl Rocks is a rugged and compact city car with a touch of adventure. It features an efficient engine, delivering 85 horsepower with a fuel efficiency of 5.2 liters per 100 kilometers. The Karl Rocks has both automatic and manual transmission options, five doors, and runs on gasoline. It boasts a top speed of 175 km/h."
Opel Combo Life,"The Opel Combo Life is a practical and spacious MPV designed for versatile use. It features a reliable engine, delivering 110 horsepower with a fuel efficiency of 6.5 liters per 100 kilometers. The Combo Life has both automatic and manual transmission options, five doors, and runs on diesel. It boasts a top speed of 170 km/h."
Opel Antara,"The Opel Antara is a robust and capable SUV designed for various driving conditions. It features a strong engine, delivering 167 horsepower with a fuel efficiency of 9 liters per 100 kilometers. The Antara has both automatic and manual transmission options, five doors, and runs on diesel. It boasts a top speed of 195 km/h."
Opel GT,"The Opel GT is a sporty and iconic coupe known for its sleek design and performance. It features a powerful engine, delivering 260 horsepower with a fuel efficiency of 10 liters per 100 kilometers. The GT has a manual transmission, two doors, and runs on gasoline. It boasts a top speed of 230 km/h."
Opel Speedster,"The Opel Speedster is a lightweight and agile sports car designed for exhilarating driving. It features a potent engine, delivering 200 horsepower with a fuel efficiency of 8 liters per 100 kilometers. The Speedster has a manual transmission, two doors, and runs on gasoline. It boasts a top speed of 225 km/h."
